time,n_susceptible,n_infected,n_recovered
0,199,1,0
0.1,199,1,0
0.2,198,2,0
0.3,198,2,0
0.4,197,3,0
0.5,197,3,0
0.6,197,3,0
0.7,197,3,0
0.8,196,4,0
0.9,196,4,0
1,195,5,0
1.1,194,6,0
1.2,194,6,0
1.3,194,6,0
1.4,193,7,0
1.5,190,10,0
1.6,190,10,0
1.7,189,11,0
1.8,187,13,0
1.9,187,13,0
2,186,14,0
2.1,184,16,0
2.2,182,18,0
2.3,181,19,0
2.4,179,21,0
2.5,171,29,0
2.6,168,32,0
2.7,167,33,0
2.8,165,35,0
2.9,162,38,0
3,158,42,0
3.1,158,42,0
3.2,157,43,0
3.3,156,44,0
3.4,153,47,0
3.5,152,48,0
3.6,150,50,0
3.7,149,51,0
3.8,145,55,0
3.9,136,64,0
4,129,71,0
4.1,126,74,0
4.2,121,79,0
4.3,120,80,0
4.4,119,81,0
4.5,119,81,0
4.6,118,82,0
4.7,114,86,0
4.8,107,93,0
4.9,106,94,0
5,104,96,0
5.1,94,106,0
5.2,92,108,0
5.3,92,108,0
5.4,88,112,0
5.5,86,114,0
5.6,81,119,0
5.7,80,120,0
5.8,77,123,0
5.9,76,124,0
6,71,129,0
6.1,68,132,0
6.2,67,133,0
6.3,62,138,0
6.4,59,141,0
6.5,56,144,0
6.6,54,146,0
6.7,50,150,0
6.8,47,153,0
6.9,47,153,0
7,47,153,0
7.1,47,153,0
7.2,45,155,0
7.3,45,155,0
7.4,43,157,0
7.5,43,157,0
7.6,40,160,0
7.7,34,166,0
7.8,30,170,0
7.9,27,173,0
8,24,176,0
8.1,22,178,0
8.2,22,178,0
8.3,21,179,0
8.4,20,180,0
8.5,19,181,0
8.6,18,182,0
8.7,18,182,0
8.8,18,182,0
8.9,16,184,0
9,15,185,0
9.1,14,186,0
9.2,14,186,0
9.3,13,187,0
9.4,13,187,0
9.5,12,188,0
9.6,12,188,0
9.7,12,188,0
9.8,11,189,0
9.9,11,189,0
10,9,191,0
10.1,9,191,0
10.2,8,192,0
10.3,6,194,0
10.4,2,198,0
10.5,2,198,0
10.6,1,199,0
10.7,1,199,0
10.8,1,199,0
10.9,1,199,0
11,1,199,0
11.1,0,200,0
11.2,0,200,0
11.3,0,200,0
11.4,0,200,0
11.5,0,200,0
11.6,0,200,0
11.7,0,200,0
11.8,0,200,0
11.9,0,200,0
12,0,200,0
12.1,0,200,0
12.2,0,200,0
12.3,0,200,0
12.4,0,200,0
12.5,0,200,0
12.6,0,200,0
12.7,0,200,0
12.8,0,200,0
12.9,0,200,0
13,0,200,0
13.1,0,200,0
13.2,0,200,0
13.3,0,200,0
13.4,0,200,0
13.5,0,200,0
13.6,0,200,0
13.7,0,200,0
13.8,0,200,0
13.9,0,200,0
14,0,200,0
14.1,0,200,0
14.2,0,200,0
14.3,0,200,0
14.4,0,200,0
14.5,0,200,0
14.6,0,200,0
14.7,0,200,0
14.8,0,200,0
14.9,0,200,0
15,0,200,0
15.1,0,200,0
15.2,0,200,0
15.3,0,200,0
15.4,0,200,0
15.5,0,200,0
15.6,0,200,0
15.7,0,200,0
15.8,0,200,0
15.9,0,200,0
16,0,200,0
16.1,0,200,0
16.2,0,200,0
16.3,0,200,0
16.4,0,200,0
16.5,0,200,0
16.6,0,200,0
16.7,0,200,0
16.8,0,200,0
16.9,0,200,0
17,0,200,0
17.1,0,200,0
17.2,0,200,0
17.3,0,200,0
17.4,0,200,0
17.5,0,200,0
17.6,0,200,0
17.7,0,200,0
17.8,0,200,0
17.9,0,200,0
18,0,200,0
18.1,0,200,0
18.2,0,200,0
18.3,0,200,0
18.4,0,200,0
18.5,0,200,0
18.6,0,200,0
18.7,0,200,0
18.8,0,200,0
18.9,0,200,0
19,0,200,0
19.1,0,200,0
19.2,0,200,0
19.3,0,200,0
19.4,0,200,0
19.5,0,200,0
19.6,0,200,0
19.7,0,200,0
19.8,0,200,0
19.9,0,200,0
0,0,0,0
