time,n_susceptible,n_infected,n_recovered
0,1999,1,0
0.2,1999,1,0
0.4,1999,1,0
0.6,1999,1,0
0.8,1999,1,0
1,1999,1,0
1.2,1999,1,0
1.4,1999,1,0
1.6,1999,1,0
1.8,1999,1,0
2,1999,1,0
2.2,1999,1,0
2.4,1999,1,0
2.6,1999,1,0
2.8,1999,1,0
3,1999,1,0
3.2,1999,1,0
3.4,1999,1,0
3.6,1999,1,0
3.8,1999,1,0
4,1999,1,0
4.2,1999,1,0
4.4,1999,1,0
4.6,1999,1,0
4.8,1999,1,0
5,1999,1,0
5.2,1999,1,0
5.4,1999,1,0
5.6,1999,1,0
5.8,1999,1,0
6,1999,1,0
6.2,1999,1,0
6.4,1999,1,0
6.6,1999,1,0
6.8,1999,1,0
7,1999,1,0
7.2,1999,1,0
7.4,1999,1,0
7.6,1999,1,0
7.8,1999,1,0
8,1999,1,0
8.2,1999,1,0
8.4,1999,1,0
8.6,1999,1,0
8.8,1999,1,0
9,1999,1,0
9.2,1999,1,0
9.4,1999,1,0
9.6,1999,1,0
9.8,1999,1,0
10,1999,1,0
10.2,1999,1,0
10.4,1999,1,0
10.6,1999,1,0
10.8,1999,1,0
11,1999,1,0
11.2,1999,1,0
11.4,1999,1,0
11.6,1999,1,0
11.8,1999,1,0
12,1984,16,0
12.2,1944,56,0
12.4,1925,75,0
12.6,1900,100,0
12.8,1853,147,0
13,1799,201,0
13.2,1727,273,0
13.4,1663,337,0
13.6,1609,391,0
13.8,1562,438,0
14,1496,504,0
14.2,1461,539,0
14.4,1422,578,0
14.6,1395,605,0
14.8,1368,632,0
15,1348,652,0
15.2,1335,665,0
15.4,1323,677,0
15.6,1312,688,0
15.8,1301,699,0
16,1289,711,0
16.2,1280,720,0
16.4,1268,732,0
16.6,1261,739,0
16.8,1249,751,0
17,1246,754,0
17.2,1241,759,0
17.4,1225,775,0
17.6,1207,793,0
17.8,1198,802,0
18,1190,810,0
18.2,1182,818,0
18.4,1171,829,0
18.6,1162,838,0
18.8,1154,846,0
19,1143,857,0
19.2,1138,862,0
19.4,1118,882,0
19.6,1112,888,0
19.8,1099,901,0
20,1090,910,0
20.2,1077,923,0
20.4,1069,931,0
20.6,1062,938,0
20.8,1058,942,0
21,1052,948,0
21.2,1044,956,0
21.4,1035,965,0
21.6,1028,972,0
21.8,1019,981,0
22,1009,991,0
22.2,1001,999,0
22.4,990,1010,0
22.6,974,1026,0
22.8,967,1033,0
23,951,1049,0
23.2,940,1060,0
23.4,932,1068,0
23.6,922,1078,0
23.8,915,1085,0
24,905,1095,0
24.2,898,1102,0
24.4,890,1110,0
24.6,881,1119,0
24.8,876,1124,0
25,866,1134,0
25.2,853,1147,0
25.4,842,1158,0
25.6,832,1168,0
25.8,824,1176,0
26,815,1185,0
26.2,809,1191,0
26.4,799,1201,0
26.6,797,1203,0
26.8,788,1212,0
27,776,1224,0
27.2,768,1232,0
27.4,758,1242,0
27.6,748,1252,0
27.8,743,1257,0
28,729,1271,0
28.2,714,1286,0
28.4,703,1297,0
28.6,697,1303,0
28.8,688,1312,0
29,677,1323,0
29.2,670,1330,0
29.4,663,1337,0
29.6,657,1343,0
29.8,646,1354,0
30,643,1357,0
30.2,632,1368,0
30.4,625,1375,0
30.6,619,1381,0
30.8,612,1388,0
31,603,1397,0
31.2,597,1403,0
31.4,588,1412,0
31.6,579,1421,0
31.8,567,1433,0
32,560,1440,0
32.2,552,1448,0
32.4,543,1457,0
32.6,538,1462,0
32.8,523,1477,0
33,518,1482,0
33.2,504,1496,0
33.4,499,1501,0
33.6,491,1509,0
33.8,491,1509,0
34,491,1509,0
34.2,491,1509,0
34.4,477,1523,0
34.6,468,1532,0
34.8,464,1536,0
35,457,1543,0
35.2,450,1550,0
35.4,435,1565,0
35.6,430,1570,0
35.8,426,1574,0
36,418,1582,0
36.2,409,1591,0
36.4,404,1596,0
36.6,396,1604,0
36.8,387,1613,0
37,373,1627,0
37.2,369,1631,0
37.4,360,1640,0
37.6,354,1646,0
37.8,343,1657,0
38,332,1668,0
38.2,323,1677,0
38.4,313,1687,0
38.6,301,1699,0
38.8,296,1704,0
39,288,1712,0
39.2,273,1727,0
39.4,265,1735,0
39.6,254,1746,0
39.8,235,1765,0
40,224,1776,0
